demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost
815,2540,670,203.6,214.0,10,0,0,-1,53
1110,4060,191,202.7,214.9,10,0,0,-1,52
409,4229,645,68.3,70.1,10,0,0,-1,64
604,4951,1130,82.7,86.8,10,0,0,-1,61
1246,837,4706,326.7,338.9,10,0,0,-1,72
317,4802,1568,63.2,77.6,10,0,0,-1,73
1270,1720,806,351.0,363.0,10,0,0,-1,68
473,3605,1063,60.6,64.2,10,0,0,-1,69
519,2293,3553,72.4,75.1,10,0,0,-1,67
1217,1476,1518,310.4,320.8,10,0,0,-1,74
378,3510,4779,51.6,57.5,10,0,0,-1,62
1248,626,548,347.9,361.3,10,0,0,-1,67
